Timestamp,PM2.5 (µg/m³),Station,Actual_PM2.5_24h,Predicted_PM2.5_24h
2026-04-10 06:00:00,43.5,Talkatora DIC,40.0,47.596423776455026
2026-04-10 07:00:00,49.25,Talkatora DIC,55.0,41.86290129188652
2026-04-10 08:00:00,58.25,Talkatora DIC,53.25,53.80093694966918
2026-04-10 09:00:00,54.25,Talkatora DIC,67.5,60.43096720198703
2026-04-10 10:00:00,49.5,Talkatora DIC,69.0,61.780853240342594
2026-04-10 11:00:00,53.5,Talkatora DIC,73.5,53.79009722151025
2026-04-10 13:00:00,63.25,Talkatora DIC,70.0,57.25749195165948
2026-04-10 14:00:00,51.0,Talkatora DIC,85.5,58.73113654001771
2026-04-10 15:00:00,53.5,Talkatora DIC,83.5,54.84476116056319
2026-04-10 16:00:00,41.25,Talkatora DIC,63.0,57.304085758806686
2026-04-10 17:00:00,50.0,Talkatora DIC,58.25,51.4766149727951
2026-04-10 18:00:00,41.0,Talkatora DIC,77.0,56.417421792896285
2026-04-10 19:00:00,45.5,Talkatora DIC,84.5,67.74638070837325
2026-04-10 20:00:00,63.25,Talkatora DIC,64.0,56.33184553596043
2026-04-10 21:00:00,89.5,Talkatora DIC,75.5,65.04964627224626
2026-04-10 22:00:00,76.5,Talkatora DIC,69.75,61.972007651515135
2026-04-10 23:00:00,61.67,Talkatora DIC,67.33,70.3099862073112
2026-04-11 00:00:00,51.0,Talkatora DIC,73.25,56.25980032983902
2026-04-11 01:00:00,57.0,Talkatora DIC,68.5,60.65768305315061
2026-04-11 02:00:00,57.0,Talkatora DIC,55.25,62.70182076634697
2026-04-11 03:00:00,39.75,Talkatora DIC,68.75,56.71383773809523
2026-04-11 04:00:00,47.0,Talkatora DIC,69.25,48.126305800264554
2026-04-11 05:00:00,42.5,Talkatora DIC,68.0,50.545246468254014
2026-04-11 06:00:00,40.0,Talkatora DIC,69.0,48.29408214429495
2026-04-11 07:00:00,55.0,Talkatora DIC,80.0,50.53457580543011
2026-04-11 08:00:00,53.25,Talkatora DIC,82.0,54.84754820973692
2026-04-11 09:00:00,67.5,Talkatora DIC,79.25,58.049603502939064
2026-04-11 10:00:00,69.0,Talkatora DIC,77.25,62.50695452536569
2026-04-11 11:00:00,73.5,Talkatora DIC,69.75,65.68187020463742
2026-04-11 12:00:00,78.5,Talkatora DIC,75.5,66.49158501322749
2026-04-11 13:00:00,70.0,Talkatora DIC,81.5,72.1964300300625
2026-04-11 14:00:00,85.5,Talkatora DIC,77.5,61.625015931780666
2026-04-11 15:00:00,83.5,Talkatora DIC,66.0,59.153463571428574
2026-04-11 16:00:00,63.0,Talkatora DIC,60.5,62.86037951465204
2026-04-11 17:00:00,58.25,Talkatora DIC,62.75,58.35984652287691
2026-04-11 18:00:00,77.0,Talkatora DIC,69.5,59.79779694010341
2026-04-11 19:00:00,84.5,Talkatora DIC,77.25,66.17141265363394
2026-04-11 20:00:00,64.0,Talkatora DIC,85.25,73.92031067821068
2026-04-11 21:00:00,75.5,Talkatora DIC,80.5,95.59051751322757
2026-04-11 22:00:00,69.75,Talkatora DIC,79.0,88.85298123598622
2026-04-11 23:00:00,67.33,Talkatora DIC,83.33,76.41831024290536
2026-04-12 00:00:00,73.25,Talkatora DIC,69.5,72.72231937414733
2026-04-12 01:00:00,68.5,Talkatora DIC,71.75,72.42726697754797
2026-04-12 02:00:00,55.25,Talkatora DIC,61.0,72.7743751695527
2026-04-12 03:00:00,68.75,Talkatora DIC,62.75,69.36926795029339
2026-04-12 04:00:00,69.25,Talkatora DIC,66.5,72.09629495310247
2026-04-12 05:00:00,68.0,Talkatora DIC,59.75,75.34328947226084
2026-04-12 06:00:00,69.0,Talkatora DIC,68.0,71.04225124098123
2026-04-12 07:00:00,80.0,Talkatora DIC,97.25,73.74229362193363
2026-04-12 08:00:00,82.0,Talkatora DIC,101.0,72.41285158008658
2026-04-12 09:00:00,79.25,Talkatora DIC,102.75,83.07799651616898
2026-04-12 10:00:00,77.25,Talkatora DIC,95.75,81.30662054423088
2026-04-12 13:00:00,81.5,Talkatora DIC,6.0,73.73723443147901
2026-04-12 14:00:00,77.5,Talkatora DIC,76.5,82.20776559824596
2026-04-12 15:00:00,66.0,Talkatora DIC,60.25,77.31467968554756
2026-04-12 16:00:00,60.5,Talkatora DIC,60.0,61.39906310908445
2026-04-12 17:00:00,62.75,Talkatora DIC,61.0,63.87604490544699
2026-04-12 18:00:00,69.5,Talkatora DIC,33.5,62.48992248810793
2026-04-12 19:00:00,77.25,Talkatora DIC,89.0,71.5563550190211
2026-04-12 20:00:00,85.25,Talkatora DIC,51.75,76.75564850178965
2026-04-12 21:00:00,80.5,Talkatora DIC,105.75,89.16484230354817
2026-04-12 22:00:00,79.0,Talkatora DIC,91.25,81.30130648715001
2026-04-12 23:00:00,83.33,Talkatora DIC,92.0,80.91527097003971
2026-04-13 00:00:00,69.5,Talkatora DIC,89.0,77.09485725789759
2026-04-13 01:00:00,71.75,Talkatora DIC,94.75,70.69709076245276
2026-04-13 02:00:00,61.0,Talkatora DIC,89.25,64.32576762376623
2026-04-13 03:00:00,62.75,Talkatora DIC,90.0,61.13783009504236
2026-04-13 04:00:00,66.5,Talkatora DIC,95.0,62.787931392715265
2026-04-13 05:00:00,59.75,Talkatora DIC,87.25,64.95143426390464
2026-04-13 06:00:00,68.0,Talkatora DIC,78.25,61.093319566992406
2026-04-13 07:00:00,97.25,Talkatora DIC,89.75,75.29906438183285
2026-04-13 08:00:00,101.0,Talkatora DIC,101.75,92.58175420628855
2026-04-13 09:00:00,102.75,Talkatora DIC,123.0,81.25871777063357
2026-04-13 10:00:00,95.75,Talkatora DIC,112.25,74.49506197136994
2026-04-13 11:00:00,,Talkatora DIC,104.0,76.30877286065498
2026-04-17 21:00:00,186.5,Talkatora DIC,116.25,125.98381949940189
2026-04-17 22:00:00,197.0,Talkatora DIC,118.0,157.7338577805011
2026-04-17 23:00:00,192.33,Talkatora DIC,113.33,143.29788718915344
2026-04-18 00:00:00,144.0,Talkatora DIC,95.25,125.92395816798948
2026-04-18 01:00:00,115.5,Talkatora DIC,79.25,118.35641122354502
2026-04-18 02:00:00,105.0,Talkatora DIC,65.25,115.29873888072716
2026-04-18 03:00:00,86.25,Talkatora DIC,75.75,114.05804643924901
2026-04-18 04:00:00,89.0,Talkatora DIC,75.0,99.24767808201062
2026-04-18 05:00:00,82.25,Talkatora DIC,67.0,98.98890443519662
2026-04-18 06:00:00,99.5,Talkatora DIC,80.75,85.81070568791232
2026-04-18 07:00:00,110.75,Talkatora DIC,114.25,109.4205866209452
2026-04-18 08:00:00,123.75,Talkatora DIC,161.0,117.24136017429846
2026-04-18 09:00:00,137.75,Talkatora DIC,142.25,120.86890729510958
2026-04-18 10:00:00,127.25,Talkatora DIC,123.25,130.63779001533052
2026-04-18 11:00:00,114.25,Talkatora DIC,115.25,119.17258541230392
2026-04-18 12:00:00,100.25,Talkatora DIC,107.25,113.62680086316007
2026-04-18 13:00:00,96.0,Talkatora DIC,94.25,106.08842391981267
2026-04-18 14:00:00,80.25,Talkatora DIC,87.0,89.68185921299813
2026-04-18 15:00:00,110.5,Talkatora DIC,108.75,84.92570959228429
2026-04-18 16:00:00,98.25,Talkatora DIC,90.5,88.67388824534724
2026-04-18 17:00:00,106.75,Talkatora DIC,75.25,91.49879578235755
2026-04-18 18:00:00,105.0,Talkatora DIC,63.33,89.69936924788306
2026-04-18 19:00:00,112.75,Talkatora DIC,82.5,92.83847666179985
2026-04-18 20:00:00,130.75,Talkatora DIC,98.75,117.0500668456389
2026-04-18 21:00:00,116.25,Talkatora DIC,115.75,126.2228871868042
2026-04-18 22:00:00,118.0,Talkatora DIC,130.75,120.24935841431987
2026-04-18 23:00:00,113.33,Talkatora DIC,114.33,117.1402306197872
2026-04-19 00:00:00,95.25,Talkatora DIC,108.25,116.15156368125126
2026-04-19 01:00:00,79.25,Talkatora DIC,146.25,100.7577045936209
2026-04-19 02:00:00,65.25,Talkatora DIC,120.5,95.18522529514205
2026-04-19 03:00:00,75.75,Talkatora DIC,117.0,83.05256404587666
2026-04-19 04:00:00,75.0,Talkatora DIC,100.25,85.59070486980907
2026-04-19 05:00:00,67.0,Talkatora DIC,101.0,84.99291306779435
2026-04-19 06:00:00,80.75,Talkatora DIC,108.0,79.98580913632935
2026-04-19 07:00:00,114.25,Talkatora DIC,138.25,83.02803943714596
2026-04-19 08:00:00,161.0,Talkatora DIC,145.75,119.27232388067432
2026-04-19 09:00:00,142.25,Talkatora DIC,160.75,122.66219803311071
2026-04-19 10:00:00,123.25,Talkatora DIC,160.0,123.20811087573925
2026-04-19 11:00:00,115.25,Talkatora DIC,134.5,119.90848775299492
2026-04-19 12:00:00,107.25,Talkatora DIC,109.5,92.59539589182337
2026-04-19 13:00:00,94.25,Talkatora DIC,106.25,91.21460263796627
2026-04-19 14:00:00,87.0,Talkatora DIC,104.0,86.68741979423363
2026-04-19 15:00:00,108.75,Talkatora DIC,86.5,87.61195569583928
2026-04-19 16:00:00,90.5,Talkatora DIC,68.5,89.74088961319777
2026-04-19 17:00:00,75.25,Talkatora DIC,55.25,91.16744960322823
2026-04-19 18:00:00,63.33,Talkatora DIC,45.25,87.08883657837752
2026-04-19 19:00:00,82.5,Talkatora DIC,49.0,80.95851979028312
2026-04-19 20:00:00,98.75,Talkatora DIC,70.75,95.48985716027244
2026-04-19 21:00:00,115.75,Talkatora DIC,69.0,122.43414538859851
2026-04-19 22:00:00,130.75,Talkatora DIC,77.75,135.32457385989008
2026-04-19 23:00:00,114.33,Talkatora DIC,73.33,135.73175703754578
2026-04-20 00:00:00,108.25,Talkatora DIC,71.0,102.1090015930577
2026-04-20 01:00:00,146.25,Talkatora DIC,71.0,91.4418934971287
2026-04-20 02:00:00,120.5,Talkatora DIC,66.25,88.9744111792936
2026-04-20 03:00:00,117.0,Talkatora DIC,75.0,86.51772472766167
2026-04-20 04:00:00,100.25,Talkatora DIC,70.0,83.0955539306911
2026-04-20 05:00:00,101.0,Talkatora DIC,79.75,84.7048078426797
2026-04-20 06:00:00,108.0,Talkatora DIC,78.0,92.19886672624885
2026-04-20 07:00:00,138.25,Talkatora DIC,86.75,108.82907900764837
2026-04-20 08:00:00,145.75,Talkatora DIC,105.0,112.54650252213736
2026-04-20 09:00:00,160.75,Talkatora DIC,88.25,113.29832470688206
2026-04-20 10:00:00,160.0,Talkatora DIC,85.0,115.09996118564021
2026-04-20 13:00:00,106.25,Talkatora DIC,79.0,103.57221838728536
2026-04-27 12:00:00,85.0,Talkatora DIC,103.75,83.04048055410966
2026-04-27 13:00:00,85.0,Talkatora DIC,78.5,96.34832985748793
2026-04-27 14:00:00,83.5,Talkatora DIC,85.5,97.25224230148078
2026-04-27 15:00:00,71.25,Talkatora DIC,75.0,70.33960444736074
2026-04-27 16:00:00,72.75,Talkatora DIC,76.5,74.12046211031357
2026-04-27 17:00:00,83.75,Talkatora DIC,84.5,79.43666500168388
2026-04-27 18:00:00,77.25,Talkatora DIC,75.5,67.18100408892236
2026-04-27 19:00:00,81.75,Talkatora DIC,68.75,79.45514901759614
2026-04-27 20:00:00,117.25,Talkatora DIC,85.5,93.39407898140809
2026-04-27 21:00:00,124.25,Talkatora DIC,97.75,95.1396860180267
2026-04-27 22:00:00,111.0,Talkatora DIC,91.75,91.45199133886159
2026-04-27 23:00:00,113.0,Talkatora DIC,88.0,97.32767994816035
2026-04-28 00:00:00,98.75,Talkatora DIC,79.75,109.00888304232794
2026-04-28 01:00:00,93.0,Talkatora DIC,77.0,92.69742379120873
2026-04-28 02:00:00,77.67,Talkatora DIC,76.5,84.23654838237141
2026-04-28 03:00:00,73.5,Talkatora DIC,63.5,82.65099624045801
2026-04-28 04:00:00,45.25,Talkatora DIC,54.25,71.41464900827853
2026-04-28 05:00:00,51.25,Talkatora DIC,77.5,53.00294127684407
2026-04-28 06:00:00,57.5,Talkatora DIC,65.25,65.46468568105917
2026-04-28 07:00:00,67.25,Talkatora DIC,70.0,71.4481794828419
2026-04-28 08:00:00,69.5,Talkatora DIC,89.75,74.91836712500549
2026-04-28 09:00:00,100.0,Talkatora DIC,102.33,80.47917156870272
2026-04-28 10:00:00,118.25,Talkatora DIC,106.0,84.74644059723153
2026-04-28 11:00:00,87.0,Talkatora DIC,90.0,87.95011879986123
2026-04-28 12:00:00,103.75,Talkatora DIC,110.0,84.46836540763917
2026-05-03 16:00:00,20.0,Talkatora DIC,24.0,61.57940775488848
2026-05-03 17:00:00,20.75,Talkatora DIC,23.25,49.93248085721082
2026-05-03 18:00:00,24.5,Talkatora DIC,23.0,46.055596952880435
2026-05-03 19:00:00,25.75,Talkatora DIC,24.75,47.58302382878233
2026-05-03 20:00:00,36.75,Talkatora DIC,27.75,54.42535227215268
2026-05-03 21:00:00,40.75,Talkatora DIC,30.75,49.68057572295352
2026-05-03 22:00:00,42.75,Talkatora DIC,29.25,53.663278356115576
2026-05-03 23:00:00,40.33,Talkatora DIC,30.67,61.62604880181911
2026-05-04 00:00:00,39.0,Talkatora DIC,19.5,54.4536192628668
2026-05-04 01:00:00,38.0,Talkatora DIC,18.75,54.508210476190484
2026-05-04 02:00:00,39.75,Talkatora DIC,19.0,51.47491194202255
2026-05-04 03:00:00,38.25,Talkatora DIC,26.0,51.0945902531427
2026-05-04 04:00:00,29.0,Talkatora DIC,21.0,49.78299827863574
2026-05-04 05:00:00,36.0,Talkatora DIC,25.5,48.39681192003091
2026-05-04 06:00:00,37.0,Talkatora DIC,24.25,49.59946255956646
2026-05-04 07:00:00,32.5,Talkatora DIC,33.75,42.64647869241103
2026-05-04 08:00:00,50.5,Talkatora DIC,18.5,50.56952398125959
2026-05-04 09:00:00,34.0,Talkatora DIC,8.5,43.92430629837999
2026-05-04 10:00:00,23.0,Talkatora DIC,25.5,46.09582895906618
2026-05-04 11:00:00,14.75,Talkatora DIC,31.67,48.3511860456346
2026-05-04 12:00:00,9.5,Talkatora DIC,33.0,45.41745131371617
